Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
TTC30A	2q31.2	6.96	7.27	0.74	0.86	-0.32	0.0193	0.0393	Unaltered group
KLK7	19q13.41	0.93	1.83	2.00	3.30	-0.90	0.0193	0.0393	Unaltered group
ADSL	22q13.1	10.50	10.74	0.56	0.61	-0.24	0.0193	0.0393	Unaltered group
PCARE	2p23.2	0.96	1.50	1.26	1.43	-0.54	0.0193	0.0393	Unaltered group
NDUFAF4	6q16.1	7.92	8.13	0.47	0.64	-0.21	0.0194	0.0394	Unaltered group
SELENON	1p36.11	12.27	12.59	0.77	0.72	-0.33	0.0194	0.0395	Unaltered group
CCNB1	5q13.2	9.65	9.98	0.76	0.78	-0.33	0.0194	0.0396	Unaltered group
UBL3	13q12.3	11.34	11.73	0.90	1.12	-0.39	0.0195	0.0396	Unaltered group
SRXN1	20p13	9.39	9.76	0.87	0.89	-0.37	0.0195	0.0396	Unaltered group
ZDHHC16	10q24.1	9.04	9.22	0.41	0.60	-0.18	0.0195	0.0396	Unaltered group
INF2	14q32.33	11.08	11.49	0.95	0.83	-0.40	0.0195	0.0397	Unaltered group
GAGE2B	Xp11.23	0.70	1.54	1.84	3.18	-0.83	0.0195	0.0397	Unaltered group
DCTN5	16p12.2	10.55	10.68	0.29	0.41	-0.13	0.0195	0.0397	Unaltered group
GFER	16p13.3	8.63	8.84	0.50	0.53	-0.22	0.0196	0.0398	Unaltered group
ARHGDIG	16p13.3	0.73	1.31	1.32	1.77	-0.58	0.0196	0.0398	Unaltered group
WNT3	17q21.31-q21.32	2.76	3.36	1.40	1.78	-0.61	0.0196	0.0399	Unaltered group
SLC30A9	4p13	9.98	10.20	0.50	0.67	-0.22	0.0196	0.0399	Unaltered group
ZNF497	19q13.43	5.27	5.54	0.62	0.81	-0.27	0.0197	0.0401	Unaltered group
MECP2	Xq28	10.76	10.91	0.33	0.46	-0.15	0.0198	0.0401	Unaltered group
ARFGEF3	6q23.3-q24.1	4.79	5.35	1.24	2.19	-0.56	0.0198	0.0403	Unaltered group
NCAPG2	7q36.3	9.42	9.70	0.65	0.81	-0.28	0.0198	0.0403	Unaltered group
PSMD1	2q37.1	11.09	11.25	0.37	0.45	-0.16	0.0198	0.0403	Unaltered group
RTN4RL2	11q12.1	4.59	5.31	1.70	1.40	-0.72	0.0199	0.0403	Unaltered group
INO80B	2p13.1	8.12	8.62	1.18	0.82	-0.50	0.0199	0.0403	Unaltered group
LNPK	2q31.1	9.33	9.71	0.89	0.99	-0.38	0.0199	0.0403	Unaltered group
PROM1	4p15.32	3.63	4.61	2.31	2.27	-0.98	0.0199	0.0403	Unaltered group
XAB2	19p13.2	10.20	10.57	0.87	0.64	-0.37	0.0200	0.0406	Unaltered group
SPRR1B	1q21.3	1.41	2.57	2.62	4.07	-1.16	0.0201	0.0407	Unaltered group
CFAP97D1	17q21.31	0.09	0.20	0.23	0.37	-0.10	0.0201	0.0407	Unaltered group
CLEC16A	16p13.13	9.75	9.89	0.32	0.46	-0.14	0.0201	0.0408	Unaltered group
TTC9B	19q13.2	0.54	0.90	0.83	1.01	-0.36	0.0201	0.0408	Unaltered group
GBX1	7q36.1	0.16	0.33	0.37	0.74	-0.17	0.0202	0.0408	Unaltered group
CASP14	19p13.12	0.41	1.17	1.70	2.90	-0.77	0.0202	0.0409	Unaltered group
ANKRD11	16q24.3	11.22	11.41	0.44	0.49	-0.19	0.0202	0.0409	Unaltered group
XRCC5	2q35	12.68	12.82	0.33	0.42	-0.14	0.0203	0.0410	Unaltered group
SERF1A	5q13.2	8.46	8.68	0.50	0.62	-0.22	0.0203	0.0410	Unaltered group
LYG2	2q11.2	0.20	0.34	0.29	0.68	-0.14	0.0203	0.0411	Unaltered group
NMT1	17q21.31	11.51	11.62	0.26	0.46	-0.12	0.0203	0.0411	Unaltered group
AMOTL1	11q21	10.46	10.86	0.92	1.11	-0.40	0.0204	0.0412	Unaltered group
PHAF1	16q22.1	8.81	8.95	0.31	0.45	-0.13	0.0204	0.0412	Unaltered group
NCOR2	12q24.31	11.90	12.23	0.78	0.72	-0.33	0.0204	0.0412	Unaltered group
ADCK5	8q24.3	7.19	7.61	0.98	0.88	-0.41	0.0204	0.0413	Unaltered group
AAMDC	11q14.1	7.34	7.67	0.75	1.09	-0.33	0.0204	0.0413	Unaltered group
RNF115	1q21.1	8.77	8.94	0.38	0.54	-0.17	0.0204	0.0413	Unaltered group
EEF1DP3	13q13.1	1.29	1.66	0.87	0.90	-0.37	0.0204	0.0413	Unaltered group
YAP1	11q22.1	10.59	10.94	0.82	0.90	-0.35	0.0205	0.0414	Unaltered group
ZNF396	18q12.2	4.37	4.66	0.67	1.04	-0.30	0.0205	0.0414	Unaltered group
ROPN1B	3q21.2	7.10	7.92	1.95	1.74	-0.82	0.0206	0.0416	Unaltered group
AKR1E2	10p15.1	3.98	4.55	1.31	1.83	-0.57	0.0206	0.0416	Unaltered group
PPP2CB	8p12	10.33	10.55	0.51	0.59	-0.22	0.0206	0.0416	Unaltered group
AHCYL2	7q32.1	10.06	10.49	0.99	1.24	-0.43	0.0206	0.0417	Unaltered group
CEMP1	16p13.3	8.24	8.57	0.76	0.86	-0.33	0.0206	0.0417	Unaltered group
CYP17A1	10q24.32	0.28	0.53	0.51	1.35	-0.25	0.0207	0.0418	Unaltered group
IVL	1q21.3	1.45	2.47	2.30	3.68	-1.02	0.0208	0.0420	Unaltered group
ASH2L	8p11.23	10.20	10.38	0.41	0.61	-0.18	0.0208	0.0420	Unaltered group
TRIM6	11p15.4	5.92	6.50	1.36	1.72	-0.59	0.0209	0.0421	Unaltered group
NOP9	14q12	8.03	8.23	0.45	0.67	-0.20	0.0209	0.0421	Unaltered group
AMPD2	1p13.3	10.20	10.45	0.61	0.60	-0.26	0.0209	0.0422	Unaltered group
TLCD1	17q11.2	6.45	6.85	0.92	1.21	-0.40	0.0209	0.0422	Unaltered group
METTL9	16p12.2	11.54	11.89	0.81	0.81	-0.34	0.0209	0.0422	Unaltered group
GLB1L2	11q25	5.03	5.93	2.06	3.10	-0.91	0.0210	0.0423	Unaltered group
COQ7	16p12.3	8.22	8.39	0.38	0.49	-0.16	0.0210	0.0423	Unaltered group
KBTBD6	13q14.11	8.35	8.60	0.56	0.84	-0.25	0.0210	0.0424	Unaltered group
ALG9	11q23.1	8.76	8.94	0.41	0.60	-0.18	0.0211	0.0425	Unaltered group
DXO	6p21.33	8.46	8.67	0.49	0.65	-0.21	0.0211	0.0425	Unaltered group
GBE1	3p12.2	9.40	9.67	0.64	0.77	-0.27	0.0211	0.0425	Unaltered group
SCNM1	1q21.3	9.18	9.36	0.41	0.60	-0.18	0.0211	0.0425	Unaltered group
EREG	4q13.3	1.33	2.02	1.57	2.44	-0.69	0.0211	0.0426	Unaltered group
PCDH8	13q14.3	0.22	0.42	0.44	0.84	-0.20	0.0212	0.0427	Unaltered group
PHRF1	11p15.5	10.35	10.62	0.66	0.51	-0.27	0.0213	0.0429	Unaltered group
L2HGDH	14q21.3	7.02	7.35	0.76	0.85	-0.32	0.0213	0.0429	Unaltered group
EVA1B	1p34.3	8.05	8.59	1.29	1.07	-0.54	0.0213	0.0429	Unaltered group
SEC61G	7p11.2	9.89	10.09	0.48	0.68	-0.21	0.0214	0.0431	Unaltered group
CYP4F3	19p13.12	0.45	0.75	0.67	1.18	-0.30	0.0215	0.0431	Unaltered group
NORAD	20q11.23	12.67	12.89	0.51	0.73	-0.22	0.0215	0.0432	Unaltered group
THAP3	1p36.31	8.27	8.53	0.62	0.69	-0.26	0.0215	0.0433	Unaltered group
SEBOX	17q11.2	0.01	0.06	0.09	0.20	-0.04	0.0215	0.0433	Unaltered group
AURKAP1	1q41	3.64	4.09	1.09	0.99	-0.46	0.0216	0.0433	Unaltered group
MIER2	19p13.3	8.63	8.97	0.81	0.67	-0.34	0.0216	0.0434	Unaltered group
AP3S2	15q26.1	10.30	10.45	0.33	0.50	-0.14	0.0216	0.0434	Unaltered group
HTN1	4q13.3	0.94	1.90	2.26	2.74	-0.96	0.0217	0.0436	Unaltered group
YEATS2	3q27.1	10.16	10.35	0.44	0.64	-0.19	0.0218	0.0437	Unaltered group
SULT4A1	22q13.31	1.77	2.71	2.21	2.62	-0.94	0.0218	0.0437	Unaltered group
SREBF1	17p11.2	11.05	11.44	0.92	0.89	-0.39	0.0218	0.0437	Unaltered group
SCAND1	20q11.23	9.44	10.01	1.38	0.91	-0.57	0.0218	0.0438	Unaltered group
KIF26B	1q44	7.71	8.26	1.28	1.82	-0.55	0.0218	0.0438	Unaltered group
KIFAP3	1q24.2	9.82	10.04	0.51	0.72	-0.22	0.0219	0.0440	Unaltered group
WNK4	17q21.2	6.08	7.42	3.22	2.77	-1.34	0.0219	0.0440	Unaltered group
LRAT	4q32.1	4.43	5.55	2.70	2.51	-1.13	0.0219	0.0440	Unaltered group
GINS1	20p11.21	8.01	8.32	0.73	0.87	-0.31	0.0220	0.0441	Unaltered group
KLHDC8B	3p21.31	9.50	9.90	0.93	0.96	-0.39	0.0220	0.0441	Unaltered group
BABAM2	2p23.2	9.15	9.30	0.34	0.57	-0.15	0.0220	0.0441	Unaltered group
CCDC157	22q12.2	4.82	5.15	0.78	0.87	-0.33	0.0221	0.0442	Unaltered group
DNAI3	1p22.3	4.28	5.34	2.51	2.68	-1.05	0.0221	0.0442	Unaltered group
GLO1	6p21.2	11.23	11.46	0.54	0.64	-0.23	0.0221	0.0442	Unaltered group
EPHB4	7q22.1	10.08	10.48	0.93	1.14	-0.40	0.0221	0.0443	Unaltered group
HOMER1	5q14.1	6.34	6.89	1.29	1.52	-0.55	0.0221	0.0443	Unaltered group
MARS2	2q33.1	7.89	8.08	0.45	0.67	-0.20	0.0221	0.0443	Unaltered group
EIF3IP1	7q31.1	0.64	0.90	0.64	0.72	-0.27	0.0222	0.0444	Unaltered group
MET	7q31	9.56	10.30	1.74	2.32	-0.75	0.0222	0.0444	Unaltered group
WBP2	17q25.1	11.75	12.01	0.62	0.77	-0.26	0.0222	0.0444	Unaltered group
SPACA3	17q11.2	0.96	1.43	1.08	1.86	-0.48	0.0223	0.0446	Unaltered group
PSD2	5q31.2	3.12	3.79	1.59	1.92	-0.67	0.0223	0.0446	Unaltered group
CDPF1	22q13.31	7.59	7.79	0.48	0.61	-0.20	0.0223	0.0446	Unaltered group
TMEM208	16q22.1	9.57	9.81	0.57	0.73	-0.24	0.0223	0.0446	Unaltered group
KLK11	19q13.41	0.85	1.65	1.83	2.94	-0.80	0.0223	0.0446	Unaltered group
FAM177A1	14q13.2	9.06	9.31	0.58	0.68	-0.24	0.0223	0.0446	Unaltered group
MLX	17q21.2	10.27	10.38	0.25	0.40	-0.11	0.0224	0.0447	Unaltered group
HDDC2	6q22.31	9.83	10.06	0.54	0.70	-0.23	0.0224	0.0448	Unaltered group
FAM9B	Xp22.31	0.10	0.21	0.22	0.63	-0.11	0.0224	0.0448	Unaltered group
LINC01098	4q34.3	0.30	0.61	0.70	1.23	-0.31	0.0226	0.0450	Unaltered group
BIRC7	20q13.33	8.20	9.50	3.13	2.91	-1.30	0.0226	0.0451	Unaltered group
PIH1D2	11q23.1	3.11	3.48	0.88	0.96	-0.37	0.0227	0.0452	Unaltered group
TAC1	7q21.3	0.15	0.38	0.48	1.04	-0.22	0.0227	0.0452	Unaltered group
COL11A2	6p21.32	7.00	8.16	2.75	3.18	-1.16	0.0227	0.0453	Unaltered group
NUBPL	14q12	7.62	7.88	0.60	0.67	-0.25	0.0227	0.0453	Unaltered group
RRP8	11p15.4	8.48	8.62	0.33	0.48	-0.14	0.0227	0.0453	Unaltered group
RFWD3	16q23.1	9.76	9.92	0.37	0.55	-0.16	0.0228	0.0454	Unaltered group
DRG1	22q12.2	10.13	10.33	0.49	0.51	-0.20	0.0228	0.0454	Unaltered group
PSRC1	1p13.3	8.51	8.93	1.01	0.91	-0.42	0.0229	0.0456	Unaltered group
ARMC10	7q22.1	9.28	9.46	0.43	0.59	-0.19	0.0229	0.0457	Unaltered group
BCAR4	16p13.13	0.10	0.24	0.28	0.72	-0.14	0.0230	0.0458	Unaltered group
SPATS1	6p21.1	2.29	3.35	2.55	2.62	-1.06	0.0230	0.0458	Unaltered group
MIR205HG	1q32.2	0.61	1.25	1.45	2.43	-0.64	0.0230	0.0459	Unaltered group
CASTOR2	7q11.23	3.49	3.96	1.13	1.12	-0.47	0.0231	0.0460	Unaltered group
TPRA1	3q21.3	9.43	9.66	0.55	0.59	-0.23	0.0231	0.0461	Unaltered group
C1QTNF12	1p36.33	1.50	1.98	1.12	1.67	-0.48	0.0231	0.0461	Unaltered group
GTF2H5	6q25.3	8.80	8.99	0.45	0.54	-0.19	0.0231	0.0461	Unaltered group
DNAAF4	15q21.3	4.72	5.14	1.00	1.20	-0.42	0.0233	0.0464	Unaltered group
TCF25	16q24.3	11.23	11.42	0.43	0.55	-0.18	0.0233	0.0464	Unaltered group
LINC01144	1p34.1	4.37	4.68	0.73	0.96	-0.31	0.0233	0.0464	Unaltered group
SNORC	2q37.1	1.37	2.28	2.18	2.48	-0.91	0.0234	0.0466	Unaltered group
CERCAM	9q34.11	10.29	10.72	1.03	0.98	-0.43	0.0234	0.0466	Unaltered group
CYSTM1	5q31.3	9.87	10.23	0.88	0.90	-0.36	0.0234	0.0466	Unaltered group
FOLR1	11q13.4	0.76	1.33	1.34	1.95	-0.57	0.0235	0.0466	Unaltered group
AMZ2P1	17q24.1	7.49	7.72	0.55	0.81	-0.23	0.0235	0.0467	Unaltered group
LINC02610	2q37.3	4.35	4.84	1.13	1.79	-0.49	0.0235	0.0467	Unaltered group
LCE5A	1q21.3	0.39	0.72	0.76	1.31	-0.33	0.0235	0.0467	Unaltered group
C1ORF112	1q24.2	7.57	7.85	0.66	0.78	-0.28	0.0235	0.0467	Unaltered group
PKLR	1q22	3.32	4.49	2.80	3.19	-1.17	0.0236	0.0468	Unaltered group
CST5	20p11.21	0.65	1.10	0.95	2.21	-0.45	0.0236	0.0468	Unaltered group
KRT6C	12q13.13	2.16	3.48	3.06	4.65	-1.32	0.0236	0.0469	Unaltered group
PIGX	3q29	8.79	8.95	0.39	0.50	-0.16	0.0237	0.0470	Unaltered group
GCC1	7q32.1	9.68	9.84	0.36	0.56	-0.16	0.0237	0.0470	Unaltered group
ZNF648	1q25.3	1.69	2.36	1.60	1.96	-0.67	0.0237	0.0470	Unaltered group
GPR62	3p21.2	1.24	1.61	0.88	1.02	-0.37	0.0237	0.0471	Unaltered group
UQCR10	22q12.2	10.09	10.33	0.56	0.73	-0.24	0.0238	0.0472	Unaltered group
FASTKD5	20p13	8.83	8.97	0.32	0.55	-0.14	0.0238	0.0472	Unaltered group
RRP36	6p21.1	9.67	9.83	0.36	0.52	-0.15	0.0238	0.0472	Unaltered group
SHQ1	3p13	8.83	8.98	0.36	0.54	-0.16	0.0238	0.0473	Unaltered group
GOLT1A	1q32.1	1.30	1.80	1.19	1.65	-0.50	0.0238	0.0473	Unaltered group
PNLIPRP3	10q25.3	1.75	2.63	2.10	2.67	-0.88	0.0239	0.0473	Unaltered group
CYP1A2	15q24.1	0.13	0.27	0.31	0.67	-0.14	0.0239	0.0473	Unaltered group
LY6G6C	6p21.33	0.72	1.40	1.56	2.68	-0.68	0.0239	0.0473	Unaltered group
MAIP1	2q33.1	7.89	8.03	0.33	0.45	-0.14	0.0239	0.0474	Unaltered group
GIGYF2	2q37.1	10.65	10.84	0.45	0.47	-0.18	0.0240	0.0475	Unaltered group
DLG5-AS1	10q22.3	2.22	2.64	1.01	1.02	-0.42	0.0240	0.0476	Unaltered group
SMIM26	20p11.23	8.80	8.98	0.42	0.54	-0.18	0.0240	0.0476	Unaltered group
RDH8	19p13.2	2.09	3.03	2.21	3.04	-0.94	0.0241	0.0477	Unaltered group
DSTN	20p12.1	11.72	11.96	0.57	0.61	-0.24	0.0241	0.0477	Unaltered group
PRKACA	19p13.12	11.14	11.29	0.37	0.49	-0.15	0.0241	0.0477	Unaltered group
PRL	6p22.3	0.50	0.83	0.73	1.48	-0.33	0.0241	0.0478	Unaltered group
BCL2L2	14q11.2	9.67	9.89	0.51	0.64	-0.21	0.0241	0.0478	Unaltered group
C1ORF226	1q23.3	5.42	5.95	1.21	1.95	-0.52	0.0242	0.0479	Unaltered group
GORASP2	2q31.1	11.22	11.33	0.26	0.39	-0.11	0.0244	0.0482	Unaltered group
MTA1	14q32.33	9.95	10.19	0.58	0.61	-0.24	0.0244	0.0484	Unaltered group
SPATA31A5	9q12	0.60	1.09	1.19	1.35	-0.49	0.0245	0.0484	Unaltered group
GPN2	1p36.11	8.31	8.44	0.30	0.54	-0.13	0.0245	0.0485	Unaltered group
NAT10	11p13	10.54	10.72	0.43	0.44	-0.18	0.0245	0.0485	Unaltered group
TRAF3IP2	6q21	9.52	9.84	0.76	1.16	-0.32	0.0246	0.0486	Unaltered group
LRRC56	11p15.5	5.49	5.96	1.15	1.10	-0.47	0.0246	0.0486	Unaltered group
SLC17A6	11p14.3	0.19	0.49	0.64	1.58	-0.30	0.0246	0.0487	Unaltered group
THEM4	1q21.3	9.03	9.30	0.66	0.75	-0.27	0.0246	0.0487	Unaltered group
ITSN1	21q22.11	9.14	9.39	0.62	0.61	-0.26	0.0247	0.0487	Unaltered group
KMT5C	19q13.42	7.09	7.35	0.64	0.68	-0.26	0.0247	0.0488	Unaltered group
ASB11	Xp22.2	1.96	2.96	2.41	2.91	-1.00	0.0247	0.0489	Unaltered group
EIF3CL	16p12.1	13.08	13.83	1.87	0.61	-0.75	0.0248	0.0489	Unaltered group
PTPN3	9q31	6.62	7.22	1.39	2.21	-0.59	0.0248	0.0489	Unaltered group
CIAO2B	16q22.1	9.70	9.88	0.43	0.62	-0.18	0.0248	0.0490	Unaltered group
RAB1B	11q13.2	12.09	12.28	0.45	0.60	-0.19	0.0249	0.0491	Unaltered group
CRAMP1	16p13.3	9.18	9.37	0.47	0.54	-0.19	0.0249	0.0491	Unaltered group
KCNG3	2p21	2.89	3.69	1.97	1.84	-0.80	0.0250	0.0492	Unaltered group
UGT2B11	4q13.2	0.02	0.07	0.09	0.40	-0.06	0.0250	0.0492	Unaltered group
RSPH9	6p21.1	3.26	3.96	1.66	2.20	-0.70	0.0250	0.0493	Unaltered group
JPH2	20q13.12	3.13	3.75	1.49	1.79	-0.62	0.0250	0.0493	Unaltered group
ZC2HC1C	14q24.3	4.95	5.51	1.37	1.58	-0.57	0.0250	0.0493	Unaltered group
POMT1	9q34.13	9.09	9.28	0.47	0.57	-0.19	0.0250	0.0493	Unaltered group
NDUFB2-AS1	7q34	4.33	4.58	0.61	0.70	-0.25	0.0250	0.0494	Unaltered group
OVOL2	20p11.23	0.45	0.75	0.68	1.43	-0.31	0.0251	0.0494	Unaltered group
EGFL8	6p21.32	7.90	8.66	1.85	1.96	-0.76	0.0251	0.0495	Unaltered group
SARS1	1p13.3	11.56	11.72	0.39	0.52	-0.16	0.0251	0.0495	Unaltered group
NOMO3	16p13.11	10.39	10.64	0.61	0.74	-0.25	0.0252	0.0496	Unaltered group
SCO2	22q13.33	9.29	9.59	0.75	0.77	-0.31	0.0252	0.0496	Unaltered group
SHBG	17p13.1	2.09	2.42	0.80	1.12	-0.34	0.0252	0.0497	Unaltered group
PRRG1	Xp21.1	7.70	8.04	0.82	0.94	-0.34	0.0252	0.0497	Unaltered group
THOC5	22q12.2	9.50	9.77	0.66	0.71	-0.27	0.0253	0.0498	Unaltered group
NFYC	1p34.2	10.20	10.32	0.28	0.45	-0.12	0.0253	0.0498	Unaltered group
PROKR1	2p13.3	0.28	0.49	0.50	0.89	-0.22	0.0253	0.0498	Unaltered group
CDS2	20p12.3	9.90	10.09	0.47	0.65	-0.20	0.0253	0.0499	Unaltered group
RPL26L1	5q35.1	7.83	8.02	0.45	0.63	-0.19	0.0253	0.0499	Unaltered group
MAF1	8q24.3	11.14	11.33	0.46	0.61	-0.19	0.0253	0.0499	Unaltered group
DCAF4	14q24.2	8.22	8.43	0.50	0.69	-0.21	0.0254	0.0499	Unaltered group
NUCB1	19q13.33	12.92	13.16	0.59	0.60	-0.24	0.0254	0.0499	Unaltered group
OVCA2	17p13.3	9.33	9.48	0.32	0.63	-0.14	0.0254	0.0500	Unaltered group
ZNF317	19p13.2	9.67	9.80	0.29	0.40	-0.12	0.0254	0.0500	Unaltered group
CCNA1	13q13.3	2.29	3.02	1.77	2.25	-0.73	0.0255	0.0501	Unaltered group
ARMCX1	Xq22.1	8.77	9.05	0.64	1.18	-0.28	0.0255	0.0502	Unaltered group
ZSWIM8	10q22.2	10.67	10.82	0.35	0.53	-0.15	0.0255	0.0502	Unaltered group
FADS1	11q12.2	10.04	10.33	0.67	0.98	-0.28	0.0256	0.0502	Unaltered group
ISX	22q12.3	0.09	0.20	0.21	0.57	-0.10	0.0256	0.0503	Unaltered group
TBCA	5q14.1	10.25	10.44	0.45	0.61	-0.19	0.0257	0.0505	Unaltered group
KCNK15	20q13.12	3.48	4.16	1.66	1.85	-0.68	0.0258	0.0506	Unaltered group
CABIN1	22q11.23	11.04	11.25	0.52	0.60	-0.21	0.0258	0.0506	Unaltered group
DELEC1	9q33.1	0.29	0.48	0.42	0.99	-0.19	0.0258	0.0507	Unaltered group
TMEM214	2p23.3	11.35	11.52	0.42	0.61	-0.18	0.0258	0.0507	Unaltered group
NDUFB11	Xp11.3	10.62	10.81	0.44	0.61	-0.18	0.0259	0.0507	Unaltered group
CCDC74B	2q21.1	3.13	3.76	1.51	1.80	-0.62	0.0259	0.0507	Unaltered group
HTT	4p16.3	11.22	11.39	0.40	0.57	-0.17	0.0259	0.0507	Unaltered group
WDR72	15q21.3	2.72	3.85	2.78	2.71	-1.13	0.0259	0.0508	Unaltered group
RFPL4B	6q21	0.34	0.57	0.51	1.15	-0.23	0.0259	0.0508	Unaltered group
SLC41A1	1q32.1	9.81	9.99	0.43	0.59	-0.18	0.0259	0.0508	Unaltered group
ARAP3	5q31.3	9.15	9.60	1.07	1.37	-0.44	0.0259	0.0508	Unaltered group
CDCA5	11q13.1	8.90	9.19	0.70	0.84	-0.29	0.0260	0.0510	Unaltered group
MAP3K10	19q13.2	8.09	8.54	1.13	0.77	-0.45	0.0262	0.0513	Unaltered group
SEMA3C	7q21.11	9.36	10.00	1.56	1.76	-0.64	0.0262	0.0513	Unaltered group
OR14C36	1q44	0.01	0.05	0.08	0.24	-0.04	0.0262	0.0513	Unaltered group
FAF2	5q35.2	10.36	10.48	0.28	0.45	-0.12	0.0262	0.0514	Unaltered group
KRT6A	12q13.13	3.07	4.69	3.90	5.17	-1.62	0.0263	0.0515	Unaltered group
MED19	11q12.1	7.72	7.91	0.46	0.51	-0.19	0.0264	0.0517	Unaltered group
MAGIX	Xp11.23	4.39	4.74	0.85	0.99	-0.35	0.0265	0.0518	Unaltered group
MYO1B	2q32.3	10.75	11.09	0.82	0.93	-0.33	0.0265	0.0519	Unaltered group
C7ORF26	7p22.1	9.45	9.62	0.39	0.58	-0.16	0.0266	0.0520	Unaltered group
SAMD15	14q24.3	3.57	3.97	0.97	1.14	-0.40	0.0266	0.0521	Unaltered group
LSMEM2	3p21.31	1.20	1.55	0.86	1.07	-0.35	0.0267	0.0521	Unaltered group
H2AC20	1q21.2	2.83	3.25	1.02	1.16	-0.42	0.0267	0.0522	Unaltered group
GTF2IP1	7q11.23	11.93	12.14	0.51	0.58	-0.21	0.0268	0.0523	Unaltered group
TCF7L1	2p11.2	8.13	8.49	0.85	1.15	-0.35	0.0268	0.0523	Unaltered group
MRPS15	1p34.3	9.95	10.11	0.39	0.55	-0.16	0.0268	0.0523	Unaltered group
EXD3	9q34.3	6.90	7.20	0.74	0.76	-0.30	0.0268	0.0524	Unaltered group
PCMT1	6q25.1	10.37	10.55	0.42	0.70	-0.18	0.0268	0.0524	Unaltered group
LY6G6F	6p21.33	0.04	0.09	0.12	0.26	-0.05	0.0268	0.0524	Unaltered group
LONP2	16q12.1	10.72	11.03	0.77	0.83	-0.31	0.0269	0.0524	Unaltered group
GPR19	12p13.1	6.19	6.59	0.95	1.24	-0.39	0.0269	0.0524	Unaltered group
ANLN	7p14.2	9.43	9.97	1.35	1.11	-0.54	0.0269	0.0525	Unaltered group
CSRP3	11p15.1	0.25	0.52	0.60	1.24	-0.27	0.0270	0.0526	Unaltered group
MCC	5q22.2	9.61	10.02	0.98	1.36	-0.41	0.0270	0.0526	Unaltered group
RPL36A	Xq22.1	5.78	6.17	0.92	1.31	-0.38	0.0270	0.0527	Unaltered group
FAM174B	15q26.1	8.67	9.12	1.09	1.61	-0.46	0.0271	0.0528	Unaltered group
BRPF3	6p21.31	9.81	9.99	0.44	0.70	-0.19	0.0271	0.0528	Unaltered group
PHC1	12p13.31	9.09	9.30	0.51	0.70	-0.21	0.0272	0.0529	Unaltered group
STX6	1q25.3	10.21	10.36	0.37	0.49	-0.15	0.0272	0.0530	Unaltered group
DPPA2	3q13.13	0.13	0.27	0.27	0.93	-0.14	0.0273	0.0531	Unaltered group
NIP7	16q22.1	9.37	9.54	0.40	0.59	-0.17	0.0273	0.0532	Unaltered group
FAM83E	19q13.33	0.48	0.75	0.63	1.06	-0.27	0.0274	0.0533	Unaltered group
DYNC2LI1	2p21	7.50	7.73	0.55	0.75	-0.23	0.0274	0.0533	Unaltered group
IL1RAP	3q28	9.33	9.83	1.22	1.54	-0.50	0.0274	0.0534	Unaltered group
OR2C3	1q44	0.78	1.31	1.25	1.96	-0.52	0.0275	0.0534	Unaltered group
KIFC1	6p21.32	9.45	9.76	0.76	0.91	-0.31	0.0275	0.0535	Unaltered group
TEKT3	17p12	2.37	2.72	0.84	1.23	-0.35	0.0275	0.0535	Unaltered group
STAG3L4	7q11.21	7.34	7.68	0.84	0.84	-0.34	0.0275	0.0535	Unaltered group
LIPM	10q23.31	0.13	0.38	0.56	1.25	-0.25	0.0275	0.0535	Unaltered group
FHIP2B	8p21.3	9.95	10.19	0.60	0.65	-0.24	0.0275	0.0536	Unaltered group
MRPL13	8q24.12	8.83	9.03	0.46	0.74	-0.20	0.0276	0.0536	Unaltered group
TGFB2	1q41	5.72	6.23	1.20	2.03	-0.51	0.0277	0.0538	Unaltered group
PRXL2A	10q23.1	9.95	10.34	0.94	1.35	-0.39	0.0279	0.0542	Unaltered group
NES	1q23.1	12.39	13.05	1.64	1.62	-0.66	0.0280	0.0543	Unaltered group
SHH	7q36.3	0.18	0.37	0.40	1.05	-0.19	0.0280	0.0543	Unaltered group
RBSN	3p25.1	9.30	9.48	0.42	0.56	-0.17	0.0280	0.0543	Unaltered group
CAMKV	3p21.31	1.28	1.77	1.17	1.85	-0.49	0.0280	0.0543	Unaltered group
FAM83A	8q24.13	1.07	1.84	1.83	2.79	-0.76	0.0281	0.0544	Unaltered group
SYT16	14q23.2	0.15	0.30	0.36	0.66	-0.15	0.0281	0.0545	Unaltered group
CPTP	1p36.33	9.19	9.57	0.96	0.83	-0.38	0.0281	0.0546	Unaltered group
ACOT8	20q13.12	8.71	8.90	0.46	0.63	-0.19	0.0282	0.0546	Unaltered group
APOLD1	12p13.1	8.37	8.79	1.01	1.42	-0.42	0.0282	0.0547	Unaltered group
GAS7	17p13.1	12.56	12.99	1.07	1.33	-0.43	0.0282	0.0547	Unaltered group
CIPC	14q24.3	9.30	9.51	0.51	0.72	-0.21	0.0283	0.0548	Unaltered group
MSX2	5q35.2	4.90	5.54	1.58	1.87	-0.64	0.0283	0.0548	Unaltered group
CLUAP1	16p13.3	8.15	8.30	0.35	0.59	-0.15	0.0283	0.0549	Unaltered group
RAB15	14q23.3	8.18	8.50	0.78	1.13	-0.32	0.0284	0.0550	Unaltered group
